Name,Address,Lat,Long
MUJI Fifth Avenue,"475 5th Ave, New York, NY 10017, United States",40.7524878,-73.9813489
MUJI Garden State Plaza,"1 Garden State Plaza Blvd #1149, Paramus, NJ 07652, United States",40.9191061,-74.0765281
MUJI SOHO,"455 Broadway, New York, NY 10013, United States",40.7207083,-74.0009746
MUJI Chelsea,"16 W 19th St, New York, NY 10011, United States",40.7394618,-73.9925543
MUJI Times Square Store,"620 8th Ave, New York, NY 10018, United States",40.7558605,-73.9901412
MUJI 59th Street,"127 E 59th St, New York, NY 10022, United States",40.7625633,-73.9686889
MUJI Williamsburg,"200 Wythe Ave, Brooklyn, NY 11249, United States",40.718742,-73.961585
MUJI Hudson Yards Store,"20 Hudson Yards, New York, NY 10001, United States",40.7537756,-74.0002476
Muji,"67 N 5th St, Brooklyn, NY 11249, United States",40.7185467,-73.961648
MUJI USA,"250 W 39th St, New York, NY 10018, United States",40.7549362,-73.9904479
MUJI San Jose,"170 S Market St #120, San Jose, CA 95113, United States",37.3326738,-121.8881674
MUJI Hollywood,"7021 Hollywood Blvd, Los Angeles, CA 90028, United States",34.1022957,-118.3429529
MUJI Santa Monica,"2936 Main St, Santa Monica, CA 90405, United States",33.9987044,-118.4806555
MUJI Stanford,"850 Stanford Shopping Center, Palo Alto, CA 94304, United States",37.4442552,-122.1719996
MUJI SOMA,"540 9th St, San Francisco, CA 94103, United States",37.7707989,-122.4081682
MUJI,"400 S Baldwin Ave, Arcadia, CA 91007, United States",34.134628,-118.0517003
MUJI Third Street Promenade,"1345 3rd Street Promenade, Santa Monica, CA 90401, United States",34.0163658,-118.4963965
,"420 Judah St, San Francisco, CA 94122, United States",37.762386,-122.4665591
Muji Muhammad,"269 S Beverly Dr, Beverly Hills, CA 90212, United States",34.0625337,-118.3993281
MUJI Portland,"621 SW 5th Ave, Portland, OR 97204, United States",45.5190652,-122.6776307
MUJI Newbury Street,"359 Newbury St, Boston, MA 02115, United States",42.3483472,-71.0878556
