Name,Address
"Birmingham, The Pizitz",1821 Second Avenue North|Downtown
"Scottsdale, Scottsdale Quarter",15257 North Scottsdale Rd.
"Scottsdale, Scottsdale Fashion Square",7014 E Camelback Rd.
"Berkeley, Fourth St.",1911 Fourth Street|Ocean View
"Corte Madera, The Village at Corte Madera",1628 Redwood Highway|Madera Gardens
"El Segundo, The Point",860 S Pacific Coast Highway
"Glendale, Glendale",232 South Brand Boulevard
"Long Beach, 2nd & PCH",6440 E. Pacific Coast Highway |Marina
"Los Angeles, West 3rd St.",8129 West 3rd St.|Beverly Grove
"Los Angeles, Abbot Kinney",1422 Abbot Kinney Boulevard|Venice
"Los Angeles, Century City",10250 Santa Monica Boulevard|Century City
"Los Angeles, Silver Lake",3916 W Sunset Blvd
"Newport Beach, Warby Parker Map Room",3408 Via Oporto|Inside of Alchemy Works: Harbor House
"Newport Beach, Fashion Island",1063 Newport Center Drive   |Newport Center
"Palo Alto, Palo Alto",555 Ramona Street|University South
"Pasadena, Pasadena",106 W Colorado Boulevard|Old Pasadena
"Sacramento, Ice Blocks",1710 R Street|Midtown
"San Diego, UTC",4465 La Jolla Village Drive
"San Francisco, Hayes Valley",357 Hayes Street
"San Jose, Santana Row",334 Santana Row
"Studio City, Studio City",12182 ½ Ventura Blvd
"Walnut Creek, Walnut Creek",1614 Mt Diablo Blvd.|Downtown
"Boulder, Twenty Ninth Street",1750 29th Street
"Denver, Dairy Block",1805 Blake Street|LoDo
"Denver, Cherry Creek",3000 East 1st Avenue
"Greenwich, Greenwich Ave.",344 Greenwich Avenue|Greenwich
"Norwalk, The SoNo Collection",100 N Water St.|South Norwalk
"Washington, Union Station",50 Massachusetts Avenue Northeast|NoMa
"Washington, Shaw",1924 8th Street NW
"Washington, Georgetown",3225 M Street NW
"Boca Raton, Boca Town Center",6000 Glades Road|Boca West
"Fort Lauderdale, Las Olas Blvd.",1015 E Las Olas Boulevard|Beverly Heights
"Jacksonville, St. Johns Town Center",4712 River City Drive|Windy Hill
"Miami, Miami Design District",4052 NE 1st Ave.
"Miami, Wynwood",215 N.W. 25th Street|Wynwood Arts District
"Miami, Coconut Grove",3403 Main Highway
"Miami, Aventura Mall",19501 Biscayne Boulevard
"Orlando, Mall at Millenia",4200 Conroy Road|Millenia
"Tampa, Showroom at Oxford Exchange",420 West Kennedy Boulevard
"Tampa, International Plaza",2223 N West Shore Blvd.|Westshore
"Atlanta, Buckhead",274 Buckhead Avenue NE|Buckhead
"Atlanta, Westside Provisions",1198 Howell Mill Road|West Midtown
"Chicago, The Loop",144 S Clark Street
"Chicago, Gold Coast",1123 North State Street
"Chicago, Armitage Ave.",851 West Armitage Avenue|Lincoln Park
"Chicago, Southport Ave.",3432 N. Southport Avenue|Lakeview
"Chicago, Fulton Market",851 W Randolph St.|West Side
"Oak Brook, Oakbrook Center",62 Oakbrook Center
"Skokie, Old Orchard",4999 Old Orchard Center
"Indianapolis, The Fashion Mall at Keystone",8702 Keystone Crossing
